FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,INACTIVITY_REASON,Motivo inattività,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2024,555.196,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2025,440.081,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2024,2811.868,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2025,3084.459,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2024,2311.585,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025,2373.976,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024,270.983,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025,292.811,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024,1036.771,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025,880.66,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024,899.787,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025,752.078,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2024,7886.189,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2025,7824.065,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2023-Q4,573.426,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2024-Q1,571.7,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2024-Q2,575.265,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2024-Q3,580.721,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2024-Q4,493.099,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2025-Q1,480.529,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2025-Q2,442.716,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2025-Q3,428.627,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2025-Q4,408.453,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2023-Q4,2600.177,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2024-Q1,2659.633,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2024-Q2,2672.929,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2024-Q3,2917.606,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2024-Q4,2997.301,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2025-Q1,3016.262,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2025-Q2,3054.443,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2025-Q3,3092.194,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2025-Q4,3174.939,,
