FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,INACTIVITY_REASON,Motivo inattività,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2024,384.337,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2025,311.141,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2024,121.59,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2025,150.409,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2024,2123.102,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025,2274.362,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024,282.918,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025,337.98,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024,724.437,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025,646.337,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024,909.658,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025,830.172,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2024,4546.043,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2025,4550.401,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2023-Q4,392.816,,
