FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,INACTIVITY_REASON,Motivo inattività,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2024,939.534,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,AVAIL,Scoraggiamento,2025,751.222,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2024,2933.458,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,FAM_RESP,Motivi familiari,2025,3234.868,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2024,4434.687,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025,4648.338,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024,553.901,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025,630.791,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024,1761.208,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025,1526.997,,
A,Annuale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024,1809.445,,
